epoch,,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),,val/box_loss,val/cls_loss,val/dfl_loss
102,,2.09613,2.28622,2.65469,0.821,0.84521,0.86667,,1.56039,1.34856,2.13728
103,,2.12818,2.29194,2.66842,0.83058,0.85039,0.87261,,1.55289,1.31306,2.13824
104,,2.12369,2.27154,2.65398,0.82592,0.84831,0.87246,,1.53213,1.3232,2.12875
105,,2.11616,2.27377,2.65322,0.83056,0.83772,0.86912,,1.54247,1.3398,2.12819
106,,2.11449,2.26716,2.64431,0.82291,0.85364,0.86953,,1.57747,1.33986,2.14323
107,,2.10069,2.26165,2.65042,0.83513,0.84592,0.87715,,1.60135,1.30832,2.15059
108,,2.11562,2.32192,2.6619,0.82254,0.85088,0.87143,,1.56758,1.32213,2.13905
109,,2.10161,2.24722,2.6501,0.82697,0.84794,0.8707,,1.56964,1.32493,2.14265
110,,2.08517,2.21819,2.62794,0.82886,0.85544,0.87497,,1.55948,1.3122,2.13525
111,,2.11355,2.27605,2.65099,0.81119,0.86356,0.87527,,1.55011,1.30985,2.13627
112,,2.11381,2.28828,2.65499,0.81827,0.85902,0.87356,,1.52153,1.32712,2.12003
113,,2.09878,2.22911,2.64904,0.8371,0.85077,0.88036,,1.54102,1.31081,2.13128
114,,2.09154,2.21976,2.63175,0.82351,0.859,0.88088,,1.5292,1.30723,2.1185
115,,2.08438,2.24628,2.63704,0.82798,0.8543,0.87481,,1.51739,1.30598,2.1135
116,,2.10068,2.24432,2.65282,0.83718,0.83564,0.87608,,1.51659,1.30269,2.11709
117,,2.09318,2.20151,2.63788,0.83667,0.84453,0.87711,,1.49945,1.28265,2.10887
118,,2.08874,2.23361,2.63808,0.83121,0.8515,0.88066,,1.50622,1.27642,2.10876
119,,2.10915,2.25479,2.64142,0.82659,0.86198,0.88421,,1.51545,1.27839,2.11097
120,,2.09132,2.21132,2.63136,0.82585,0.85873,0.88337,,1.50022,1.27944,2.10367
121,,2.06362,2.17314,2.62352,0.81398,0.8711,0.88647,,1.51075,1.26842,2.10448
122,,2.10455,2.229,2.64436,0.82048,0.86831,0.88383,,1.49711,1.25869,2.09956
123,,2.08755,2.21113,2.62942,0.81699,0.86863,0.88729,,1.49798,1.25229,2.09802
124,,2.06529,2.18889,2.62302,0.81796,0.86335,0.88718,,1.52303,1.25956,2.10757
125,,2.06521,2.1972,2.62623,0.83282,0.85342,0.88366,,1.50561,1.26861,2.10335
126,,2.08423,2.23267,2.64253,0.83385,0.85556,0.88555,,1.50519,1.26105,2.10419
127,,2.07616,2.17226,2.62722,0.833,0.8543,0.88183,,1.51524,1.26192,2.10963
128,,2.0543,2.15527,2.6173,0.82601,0.85147,0.88154,,1.50411,1.26051,2.09949
129,,2.05989,2.18212,2.62327,0.82887,0.85702,0.88288,,1.49297,1.26248,2.09624
130,,2.07287,2.20538,2.62882,0.83934,0.83813,0.88243,,1.47758,1.25639,2.08994
131,,2.03745,2.15689,2.60475,0.84184,0.84747,0.88574,,1.48622,1.25591,2.0889
132,,2.08404,2.2261,2.6305,0.83296,0.85193,0.88866,,1.49368,1.24653,2.09173
133,,2.05991,2.17354,2.61225,0.8346,0.85742,0.89131,,1.49687,1.25192,2.09275
134,,2.04358,2.16534,2.60916,0.8221,0.86276,0.8907,,1.493,1.24427,2.09159
135,,2.08324,2.2072,2.62101,0.84049,0.85052,0.88758,,1.48228,1.23754,2.08832
136,,2.04376,2.16812,2.59309,0.82111,0.86157,0.88958,,1.47984,1.24153,2.08645
137,,2.04133,2.15904,2.61475,0.81612,0.87122,0.88946,,1.47967,1.24796,2.08244
138,,2.05618,2.17841,2.61169,0.81981,0.8717,0.89048,,1.49139,1.24528,2.08823
139,,2.02863,2.13241,2.59852,0.83857,0.85435,0.89236,,1.48071,1.24035,2.08749
140,,2.05381,2.15185,2.59927,0.82348,0.87133,0.89144,,1.48835,1.24937,2.09101
141,,2.06464,2.15355,2.60646,0.82142,0.87184,0.89035,,1.47838,1.25137,2.0896
