epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
178,3609.28,0.92293,0.96373,1.36348,0.84677,0.85953,0.88492,0.75385,0.71977,0.62674,1.14492,0.0012385,0.0012385,0.0012385
179,3669.86,0.91632,0.96026,1.3598,0.84648,0.85915,0.88389,0.75388,0.71947,0.62583,1.14468,0.001189,0.001189,0.001189
180,3732.02,0.91901,0.96027,1.35743,0.84529,0.85915,0.88426,0.75406,0.7196,0.6256,1.14509,0.0011395,0.0011395,0.0011395
181,3794.28,0.92268,0.96323,1.36498,0.84515,0.86002,0.88453,0.75439,0.71963,0.62499,1.14527,0.00109,0.00109,0.00109
182,3856.07,0.90237,0.94863,1.34937,0.84109,0.86253,0.88523,0.75516,0.71915,0.62506,1.14492,0.0010405,0.0010405,0.0010405
183,3915.89,0.90962,0.9424,1.35385,0.83903,0.86315,0.88607,0.7559,0.71857,0.6246,1.1446,0.000991,0.000991,0.000991
184,3975.96,0.9163,0.95139,1.35208,0.82776,0.88119,0.88625,0.75614,0.71716,0.6243,1.14354,0.0009415,0.0009415,0.0009415
185,4036.65,0.91239,0.95093,1.36079,0.82668,0.88167,0.88661,0.75709,0.71625,0.62423,1.14304,0.000892,0.000892,0.000892
186,4098.06,0.9087,0.94785,1.35203,0.82779,0.8814,0.88672,0.75706,0.71523,0.62348,1.14232,0.0008425,0.0008425,0.0008425
187,4159.93,0.912,0.95047,1.35967,0.82551,0.88369,0.88705,0.75736,0.71499,0.62304,1.14213,0.000793,0.000793,0.000793
188,4222.13,0.91798,0.95068,1.3565,0.82508,0.88561,0.88688,0.75765,0.71475,0.62298,1.14212,0.0007435,0.0007435,0.0007435
189,4282.58,0.91852,0.94427,1.35872,0.82428,0.88676,0.88707,0.75728,0.71435,0.62288,1.14184,0.000694,0.000694,0.000694
190,4343.34,0.89805,0.92949,1.34682,0.82424,0.88813,0.88724,0.75739,0.71435,0.62254,1.14178,0.0006445,0.0006445,0.0006445
191,4397.93,0.6643,0.59017,1.17297,0.82511,0.88731,0.88704,0.75744,0.71406,0.62172,1.14164,0.000595,0.000595,0.000595
192,4447.95,0.6634,0.57315,1.16336,0.82726,0.88441,0.88706,0.75749,0.71378,0.62078,1.14108,0.0005455,0.0005455,0.0005455
193,4497.51,0.64042,0.54832,1.15368,0.8248,0.88946,0.88714,0.75724,0.71321,0.62048,1.14044,0.000496,0.000496,0.000496
194,4546.71,0.64996,0.55345,1.15713,0.82824,0.88479,0.88761,0.75816,0.7125,0.6194,1.13958,0.0004465,0.0004465,0.0004465
195,4596.02,0.64425,0.55025,1.1515,0.82932,0.88417,0.88802,0.75823,0.71211,0.61863,1.13898,0.000397,0.000397,0.000397
196,4645.21,0.63799,0.54951,1.14334,0.82974,0.88477,0.88844,0.75846,0.71215,0.61796,1.13872,0.0003475,0.0003475,0.0003475
197,4694.48,0.63105,0.53451,1.14236,0.82968,0.88695,0.88866,0.75864,0.71198,0.61723,1.13826,0.000298,0.000298,0.000298
198,4744.13,0.63378,0.53494,1.14174,0.8265,0.88967,0.88878,0.75933,0.7108,0.61674,1.13722,0.0002485,0.0002485,0.0002485
199,4793.34,0.63283,0.54624,1.14571,0.82659,0.89042,0.88893,0.75968,0.71018,0.61649,1.13645,0.000199,0.000199,0.000199
200,4842.97,0.63123,0.53171,1.14508,0.83054,0.88844,0.88905,0.76,0.70955,0.61601,1.1358,0.0001495,0.0001495,0.0001495
